date,total_trades,win_trades,total_pnl,ce_pnl,pe_pnl,max_drawdown,profit_factor,sharpe_ratio,rolled_positions
2025-10-24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-23,10,7,2.5,0.4000000000000057,2.0999999999999943,2.79999999999999,4.3214285714285845,6.36543972176365,0
2025-10-21,8,5,3.6000000000000014,-1.1000000000000014,4.700000000000003,2.79999999999999,3.035714285714294,4.39878854274204,0
2025-10-20,6,4,7.499999999999993,4.499999999999993,3.0,2.79999999999999,0.3571428571428584,-4.049096284714835,0
2025-10-17,4,2,1.0,-0.5,1.5,2.79999999999999,0.0,-7.937253933193772,0
2025-10-16,2,1,-2.79999999999999,-4.349999999999994,1.5500000000000043,0.0,0.0,0.0,0
2025-10-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
